wmpid,full_name,name_fec,first_name,last_name,gender_wmp,fecid_2020,fecid_2022a,fecid_2022b,fecid_2022old,fecid_changed,crp_candidate_id,dateadded_person,notes_person,wmp_notes,supcourt_2022,supcourt_former,currsen_2022,prompol,former_uspres,intl_leaders,gov2022_gencd,face_category,latino_wmp,latino_crp,race_wmp,race_crp1,race_crp2,race_crpmena
WMPID882,Buddy Carter,"CARTER, EARL LEROY",Buddy,Carter,M,H4GA01039,H4GA01039,,,0,N00035346,11/3/2020,,,0,0,0,0,0,0,0,,0,N,White,W,NULL,N
WMPID4923,Bulldog Ben Robinson,"ROBINSON, BULLDOG BEN",Bulldog Ben,Robinson,M,,H2OK02331,,,,,7/5/2022,,,0,0,0,0,0,0,0,,,NULL,NULL,NULL,NULL,NULL
WMPID706,Burgess Owens,"OWENS, BURGESS",Burgess,Owens,M,H0UT04076,H0UT04076,,,0,N00045812,11/3/2020,,,0,0,0,0,0,0,0,,0,N,Black,B,NULL,N
WMPID2205,Burt Thakur,"THAKUR, ALBERT 'BURT'",Burt,Thakur,M,,H2CA25259,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,Asian/Pacific Islander,AP,NULL,NULL
WMPID4999,Buzz Kelley,"KELLEY, BUZZ A.",Buzz,Kelley,M,,S2AK00242,,,,,8/5/2022,,,0,0,0,0,0,0,0,,,NULL,NULL,NULL,NULL,NULL
WMPID50,Buzz Patterson,"PATTERSON, ROBERT BUZZ",Buzz,Patterson,M,H0CA07137,H0CA07137,,,0,N00044843,11/3/2020,,,0,0,0,0,0,0,0,,0,N,White,W,NULL,N
WMPID2862,Bynum Lunsford,"LUNSFORD, BYNUM M",Bynum,Lunsford,M,,H2NC11288,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,White,W,NULL,NULL
WMPID4373,Byron Avery Anderson,"ANDERSON, BYRON AVERY",Byron Avery,Anderson,M,,H2AZ06312,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,White,W,NULL,NULL
WMPID158,Byron Donalds,"DONALDS, BYRON",Byron,Donalds,M,H0FL19205,H2FL14186,,,0,N00046180,11/3/2020,,,0,0,0,0,0,0,0,,,NULL,Black,B,NULL,NULL
WMPID4717,Byron Gatewood,"GATEWOOD, BYRON",Byron,Gatewood,M,,H2GA06198,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,White,W,NULL,NULL
WMPID207,Byron McCorriston,"MCCORRISTON, BYRON",Byron,McCorriston,M,H0HI02247,,,,0,N00047110,11/3/2020,,,0,0,0,0,0,0,0,,,,,,,
WMPID4493,C. Mark Coester,"COESTER, C. MARK MR",C. Mark,Coester,M,,S2VT00185,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,NULL,NULL,NULL,NULL
WMPID4974,C.W. Gardner,"GARDNER, C.W.",C.W.,Gardner,M,,S2MO00809,,,,,8/5/2022,,,0,0,0,0,0,0,0,,,NULL,NULL,NULL,NULL,NULL
WMPID3294,Caesar Gonzales,"GONZALES, CAESAR",Caesar,Gonzales,M,,H0GA13149,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,1,Y,Hispanic/Latino,H,NULL,N
WMPID4296,Cait Corrigan,"CORRIGAN, CAIT",Cait,Corrigan,F,,H2NY02149,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,White,W,NULL,NULL
WMPID4295,Caitlin Cree Cathey,"CATHEY, CAITLIN CREE",Caitlin Cree,Cathey,UNK,,H2TX00148,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,,NULL,,,
WMPID1395,Cal Cunningham,"CUNNINGHAM, CAL",Cal,Cunningham,M,S0NC00202,,,,0,N00031446,11/3/2020,,,0,0,0,0,0,0,0,,,,,,,
WMPID2237,Caleb Elisha,"ELISHA, CALEB MR",Caleb,Elisha,UNK,,H2MA45019,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,,NULL,,,
WMPID2224,Caleb Max,"MAX, CALEB J MR",Caleb,Max,M,,H2VA10224,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,White,W,NULL,NULL
WMPID1870,Calina Plotky,"PLOTKY, CALINA",Calina,Plotky,F,,H2GA13079,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,NULL,NULL,NULL,NULL
WMPID5238,Calvin Coolidge,"COOLIDGE, CALVIN",Calvin,Coolidge,M,,,,,,,12/19/2022,,,,,,,1,0,0,former presidents,,,White,,,
WMPID884,Calvin Griffin,"GRIFFIN, CALVIN",Calvin,Griffin,UNK,H4HI01183,H4HI01183,,,0,N00036628,11/3/2020,,,0,0,0,0,0,0,0,,,,NULL,,,
WMPID1736,Calvin Job Driggers,"DRIGGERS, CALVIN JOB",Calvin Job,Driggers,M,,S2FL00557,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,NULL,NULL,NULL,NULL
WMPID4289,Calvin Wimbish,"WIMBISH, CALVIN B MR",Calvin,Wimbish,M,,H2FL10283,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,Black,B,NULL,NULL
WMPID4714,Cameron Alton Sr Chick,"CHICK, CAMERON ALTON MR. SR",Cameron Alton Sr,Chick,M,,H2NM01342,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,White,W,NULL,NULL
WMPID3259,Cameron Dickerson,"DICKERSON, CAMERON D.",Cameron,Dickerson,UNK,,H0VA09121,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,,NULL,,,
WMPID3172,Cameron Moquin,"MOQUIN, CAMERON",Cameron,Moquin,M,,H2RI02192,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,0,N,White,W,NULL,N
WMPID4286,Cameron Parsons,"PARSONS, CAMERON",Cameron,Parsons,M,,H2TN01106,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,0,N,White,W,NULL,N
WMPID3385,Cameron Sr Chick,"CHICK, CAMERON SR.",Cameron Sr,Chick,UNK,,H2NM01375,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,,NULL,,,
WMPID714,Cameron Webb,"WEBB, CAMERON",Cameron,Webb,M,H0VA05145,,,,0,N00045173,11/3/2020,,,0,0,0,0,0,0,0,,,,,,,
WMPID4864,Camille Lombardi-Olive,"LOMBARDI-OLIVE, CAMILLE",Camille,Lombardi-Olive,F,,H6MO07235,,,0,,6/28/2022,,,0,0,0,0,0,0,0,,,NULL,NULL,NULL,NULL,NULL
WMPID670,Candace Valenzuela,"VALENZUELA, CANDACE",Candace,Valenzuela,F,H0TX24175,,,,0,N00044465,11/3/2020,,,0,0,0,0,0,0,0,,,,,,,
WMPID280,Cande Christophe,"CHRISTOPHE, SANDRA",Cande,Christophe,F,H0LA05070,H0LA05070,,,0,N00044321,11/3/2020,,,0,0,0,0,0,0,0,,,NULL,NULL,NULL,NULL,NULL
WMPID4364,Candice Cunningham Burrows,"BURROWS, CANDICE CUNNINGHAM MS",Candice Cunningham,Burrows,F,,H2TX08265,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,White,W,NULL,NULL
WMPID2290,Candice Elaine Deal-Bartell,"DEAL-BARTELL, CANDICE ELAINE",Candice Elaine,Deal-Bartell,F,,H2MN01256,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,NULL,NULL,NULL,NULL
WMPID4175,Candice Miller,"MILLER, CANDICE MS.",Candice,Miller,F,,H2MI08204,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,NULL,NULL,NULL,NULL
WMPID5103,Cara Mund,"MUND, CARA",Cara,Mund,F,,H2ND01022,,,,,9/13/2022,,,0,0,0,0,0,0,0,,,NULL,NULL,NULL,NULL,NULL
WMPID2644,Carl Andersen,"ANDERSEN, CARL E",Carl,Andersen,M,,H2CO07196,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,NULL,NULL,NULL,NULL
WMPID4164,Carl Marlinga,"MARLINGA, CARL",Carl,Marlinga,M,,H2MI10176,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,0,N,White,W,NULL,N
WMPID4849,Carl Pasquale Paladino,"PALADINO, CARL PASQUALE",Carl Pasquale,Paladino,M,,H2NY23202,,,0,,6/28/2022,,,0,0,0,0,0,0,0,,,NULL,NULL,NULL,NULL,NULL
WMPID2915,Carla Sands,"SANDS, CARLA H",Carla,Sands,F,,S2PA00554,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,0,N,White,W,NULL,N
WMPID169,Carla Spalding,"SPALDING, CARLA A",Carla,Spalding,F,H0FL23090,H0FL23090,,,0,N00037410,11/3/2020,,,0,0,0,0,0,0,0,,0,N,Black,B,NULL,N
WMPID2367,Carla-Joy Sisco,"SISCO, CARLA-JOY",Carla-Joy,Sisco,F,,H2TX35219,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,Black,B,NULL,NULL
WMPID2796,Carleah Summers,"SUMMERS, CARLEAH",Carleah,Summers,F,,H2MD06302,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,NULL,NULL,NULL,NULL
WMPID1875,Carlina Rivera,"RIVERA, CARLINA",Carlina,Rivera,F,,H2NY10324,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,NULL,NULL,NULL,NULL
WMPID3429,Carlo Poliak,"POLIAK, CARLO",Carlo,Poliak,M,,S4NV00197,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,White,W,NULL,NULL
WMPID175,Carlos Gimenez,"GIMENEZ, CARLOS",Carlos,Gimenez,M,H0FL26036,H0FL26036,,,0,N00046394,11/3/2020,,,0,0,0,0,0,0,0,,0,n,White,W,NULL,n
WMPID4081,Carlos Guillermo Tapia,"TAPIA, CARLOS GUILLERMO",Carlos Guillermo,Tapia,M,,S2CA01318,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,NULL,NULL,NULL,NULL
WMPID3713,Carlos Jose Barberena,"BARBERENA, CARLOS JOSE",Carlos Jose,Barberena,M,,S2FL00433,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,NULL,NULL,NULL,NULL
WMPID2458,Carlos Martinez Garin,"MARTINEZ GARIN, CARLOS A MR",Carlos,Martinez Garin,M,,H2FL28020,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,NULL,NULL,NULL,NULL
WMPID3816,Carlos Quintanilla,"QUINTANILLA, CARLOS",Carlos,Quintanilla,M,,H2TX06186,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,1,Y,Hispanic/Latino,H,NULL,NULL
WMPID491,Carlos Santiago-Cano,"SANTIAGO-CANO, CARLOS",Carlos,Santiago-Cano,M,H0NY12209,,,,0,N00047238,11/3/2020,,,0,0,0,0,0,0,0,,,,,,,
WMPID4142,Carlton Ellerby,"ELLERBY, CARLTON",Carlton,Ellerby,M,,S2NC00364,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,NULL,NULL,NULL,NULL
WMPID2981,Carly Braun,"BRAUN, CARLY",Carly,Braun,F,,H2WV01128,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,White,W,NULL,NULL
WMPID353,Carmelita Greco,"GRECO, CARMELITA",Carmelita,Greco,F,H0MI11145,,,,0,N00046891,11/3/2020,,,0,0,0,0,0,0,0,,,,,,,
WMPID1707,Carmen Montiel,"MONTIEL, CARMEN",Carmen,Montiel,F,,H2TX18207,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,1,Y,Hispanic/Latino,H,NULL,N
WMPID4669,Carmen Segovia,"SEGOVIA, CARMEN",Carmen,Segovia,F,,S2AK00200,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,,NULL,NULL,NULL,NULL,NULL
WMPID5294,Carol Blood,"BLOOD, CAROL",Carol,Blood,F,,,,,,,12/20/2022,,,,,,,,,1,,,,,,,
WMPID675,Carol Iannuzzi,"IANNUZZI, CAROL",Carol,Iannuzzi,F,H0TX26121,,,,0,N00044059,11/3/2020,,,0,0,0,0,0,0,0,,,,,,,
WMPID1285,Carol Miller,"MILLER, CAROL DEVINE",Carol,Miller,F,H8WV03097,H8WV03097,,,0,N00041542,11/3/2020,,,0,0,0,0,0,0,0,,0,n,White,W,NULL,n
WMPID2081,Carolina Serrano,"SERRANO, CAROLINA",Carolina,Serrano,F,,H2NV04094,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,1,Y,Hispanic/Latino,H,NULL,N
WMPID1701,Caroline Avery,"AVERY, CAROLINE",Caroline,Avery,F,,H2PA01123,,,0,,6/7/2022,,,0,0,0,0,0,0,0,,0,N,White,W,NULL,N
