face_name,face_url,face_source,face_category,wmpid_status
Ursula von der Leyen,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Official_Portrait_of_Ursula_von_der_Leyen.jpg/220px-Official_Portrait_of_Ursula_von_der_Leyen.jpg,https://en.wikipedia.org/wiki/G20,international leaders,No
António Guterres,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Ant%C3%B3nio_Guterres_2021.jpg/220px-Ant%C3%B3nio_Guterres_2021.jpg,wikipedia,international leaders,No
George Washington,https://www.whitehouse.gov/wp-content/uploads/2021/01/01_george_washington.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
John Adams,https://www.whitehouse.gov/wp-content/uploads/2021/01/02_john_adams.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
Thomas Jefferson,https://www.whitehouse.gov/wp-content/uploads/2021/01/03_thomas_jefferson.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
James Madison,https://www.whitehouse.gov/wp-content/uploads/2021/01/04_james_madison.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
James Monroe,https://www.whitehouse.gov/wp-content/uploads/2021/01/05_james_monroe.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
John Quincy Adams,https://www.whitehouse.gov/wp-content/uploads/2021/01/06_john_quincy_adams.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
Andrew Jackson,https://www.whitehouse.gov/wp-content/uploads/2021/01/07_andrew_jackson.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
Martin Van Buren,https://www.whitehouse.gov/wp-content/uploads/2021/01/08_martin_van_buren.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
William Henry Harrison,https://www.whitehouse.gov/wp-content/uploads/2021/01/09_william_henry_harrison.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
John Tyler,https://www.whitehouse.gov/wp-content/uploads/2021/01/10_john_tyler.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
James K. Polk,https://www.whitehouse.gov/wp-content/uploads/2021/01/11_james_k_polk.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
Zachary Taylor,https://www.whitehouse.gov/wp-content/uploads/2021/01/12_zachary_taylor.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
Millard Fillmore,https://www.whitehouse.gov/wp-content/uploads/2021/01/13_millard_filmore.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
Franklin Pierce,https://www.whitehouse.gov/wp-content/uploads/2021/01/14_franklin_pierce.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
James Buchanan,https://www.whitehouse.gov/wp-content/uploads/2021/01/15_james_buchanan.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
Abraham Lincoln,https://www.whitehouse.gov/wp-content/uploads/2021/01/16_abraham_lincoln.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
Andrew Johnson,https://www.whitehouse.gov/wp-content/uploads/2021/01/17_andrew_johnson.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
Ulysses S. Grant,https://www.whitehouse.gov/wp-content/uploads/2021/01/18_ulysses_s_grant.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
Rutherford B. Hayes,https://www.whitehouse.gov/wp-content/uploads/2021/01/19_rutherford_b_hayes.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
James Garfield,https://www.whitehouse.gov/wp-content/uploads/2021/01/20_james_garfield.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
Chester A. Arthur,https://www.whitehouse.gov/wp-content/uploads/2021/01/21_chester_a_arthur.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
Grover Cleveland,https://www.whitehouse.gov/wp-content/uploads/2021/01/22_grover_cleveland.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
Benjamin Harrison,https://www.whitehouse.gov/wp-content/uploads/2021/01/23_benjamin_harrison.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
Grover Cleveland,https://www.whitehouse.gov/wp-content/uploads/2021/01/22_grover_cleveland.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
William McKinley,https://www.whitehouse.gov/wp-content/uploads/2021/01/25_william_mckinley.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
Theodore Roosevelt,https://www.whitehouse.gov/wp-content/uploads/2021/01/26_theodore_roosevelt.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
William Howard Taft,https://www.whitehouse.gov/wp-content/uploads/2021/01/27_william_howard_taft.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
Woodrow Wilson,https://www.whitehouse.gov/wp-content/uploads/2021/01/28_woodrow_wilson.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
Warren G. Harding,https://www.whitehouse.gov/wp-content/uploads/2021/01/29_warren_g_harding.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
Calvin Coolidge,https://www.whitehouse.gov/wp-content/uploads/2021/01/30_calvin_coolidge.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
Herbert Hoover,https://www.whitehouse.gov/wp-content/uploads/2021/01/31_herbert_hoover.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
Franklin D. Roosevelt,https://www.whitehouse.gov/wp-content/uploads/2021/01/32_franklin_d_roosevelt.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
Harry S. Truman,https://www.whitehouse.gov/wp-content/uploads/2021/01/33_harry_s_truman.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
Dwight D. Eisenhower,https://www.whitehouse.gov/wp-content/uploads/2021/01/34_dwight_d_eisenhower.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
John F. Kennedy,https://www.whitehouse.gov/wp-content/uploads/2021/01/35_john_f_kennedy.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
Lyndon B. Johnson,https://www.whitehouse.gov/wp-content/uploads/2021/01/36_lyndon_johnson.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
Richard M. Nixon,https://www.whitehouse.gov/wp-content/uploads/2021/01/37_richard_nixon.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
Gerald R. Ford,https://www.whitehouse.gov/wp-content/uploads/2021/01/38_gerald_ford.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
James Carter,https://www.whitehouse.gov/wp-content/uploads/2021/01/39_jimmy_carter.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
Ronald Reagan,https://www.whitehouse.gov/wp-content/uploads/2021/01/40_ronald_reagan.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,Yes
George H. W. Bush,https://www.whitehouse.gov/wp-content/uploads/2021/01/41_george_hw_bush.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,No
William J. Clinton,https://www.whitehouse.gov/wp-content/uploads/2021/01/42_bill_clinton.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,Yes
George W. Bush,https://www.whitehouse.gov/wp-content/uploads/2021/01/43_george_w_bush.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,Yes
Barack Obama,https://www.whitehouse.gov/wp-content/uploads/2021/01/44_barack_obama.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,Yes
Donald Trump,https://www.whitehouse.gov/wp-content/uploads/2021/01/45_donald_trump.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,Yes
Joseph R. Biden Jr.,https://www.whitehouse.gov/wp-content/uploads/2021/04/P20210303AS-1901-cropped.jpg,https://www.whitehouse.gov/about-the-white-house/presidents/,former presidents,Yes
John G. Roberts,https://www.supremecourt.gov/about/justice_pictures/Roberts_8807-16_Crop.jpg,https://www.supremecourt.gov/about/justices.aspx,supreme court justices,Yes
Clarence Thomas,https://www.supremecourt.gov/about/justice_pictures/Thomas_9366-024_Crop.jpg,https://www.supremecourt.gov/about/justices.aspx,supreme court justices,Yes
Samuel A. Alito,https://www.supremecourt.gov/about/justice_pictures/Alito_9264-001-Crop.jpg,https://www.supremecourt.gov/about/justices.aspx,supreme court justices,Yes
Sonia Sotomayor,https://www.supremecourt.gov/about/justice_pictures/Sotomayor_9841-001-Crop.jpg,https://www.supremecourt.gov/about/justices.aspx,supreme court justices,Yes
Elena Kagan,https://www.supremecourt.gov/about/justice_pictures/Kagan_10713-017-Crop.jpg,https://www.supremecourt.gov/about/justices.aspx,supreme court justices,Yes
Neil M. Gorsuch,https://www.supremecourt.gov/about/justice_pictures/Gorsuch2.jpg,https://www.supremecourt.gov/about/justices.aspx,supreme court justices,Yes
Brett M. Kavanaugh,https://www.supremecourt.gov/about/justice_pictures/Kavanaugh 12221_005_crop.jpg,https://www.supremecourt.gov/about/justices.aspx,supreme court justices,Yes
Amy Coney Barrett,https://www.supremecourt.gov/about/justice_pictures/Barrett_102535_w151.jpg,https://www.supremecourt.gov/about/justices.aspx,supreme court justices,Yes
Ketanji Brown Jackson,https://www.supremecourt.gov/about/justice_pictures/KBJackson2.jpg,https://www.supremecourt.gov/about/justices.aspx,supreme court justices,Yes
Sandra Day O'Connor,https://www.supremecourt.gov/about/justice_pictures/OConnorColor.jpg,https://www.supremecourt.gov/about/justices.aspx,supreme court justices,No
Anthony M. Kennedy,https://www.supremecourt.gov/about/justice_pictures/Kennedy-Official-2001-Crop.jpg,https://www.supremecourt.gov/about/justices.aspx,supreme court justices,No
David Hackett Souter,https://www.supremecourt.gov/about/justice_pictures/Souter_7807-DHS-Formal.jpg,https://www.supremecourt.gov/about/justices.aspx,supreme court justices,No
Stephen G. Breyer,https://www.supremecourt.gov/about/justice_pictures/Breyer_8664-13-Crop.jpg,https://www.supremecourt.gov/about/justices.aspx,supreme court justices,Yes
Ruth Bader Ginsburg,https://www.supremecourt.gov/about/justice_pictures/Official_Justice_Ginsburg_sm.jpg,https://www.supremecourt.gov/about/justices.aspx,supreme court justices,Yes
William Rehnquist,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/William_Rehnquist.jpg/220px-William_Rehnquist.jpg,wikipedia,supreme court justices,No
Antonin Scalia,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Antonin_Scalia_Official_SCOTUS_Portrait.jpg/220px-Antonin_Scalia_Official_SCOTUS_Portrait.jpg,wikipedia,supreme court justices,Yes
Kamala Harris,https://www.whitehouse.gov/wp-content/uploads/2021/01/VPKamalaHarris.jpg?w=600&h=400&crop=1,https://www.whitehouse.gov/administration/cabinet/,cabinet,Yes
Antony Blinken,https://www.whitehouse.gov/wp-content/uploads/2021/01/Antony_Blinken.jpg?w=600&h=400&crop=1,https://www.whitehouse.gov/administration/cabinet/,cabinet,No
