abc_name,abc_name_raw,abc_state,bp_name,bp_name_raw,bp_url,bp_url_filename
Sarah Huckabee Sanders,Sarah Huckabee Sanders,Arkansas,Sarah Huckabee Sanders,"Sarah Huckabee Sanders (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Sarah-Huckabee-Sanders.jpg,Sarah-Huckabee-Sanders.jpg
Brian Dahle,Brian Dahle,California,Brian Dahle,"Brian Dahle (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Brian-Dahle.PNG,Brian-Dahle.PNG
Heidi Ganahl,Heidi Ganahl,Colorado,Heidi Ganahl,"Heidi Ganahl (R) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Ganahl.jpeg,Ganahl.jpeg
Bob Stefanowski,Bob Stefanowski,Connecticut,Bob Stefanowski,"Bob Stefanowski (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Bob-Stefanowski.PNG,Bob-Stefanowski.PNG
Ron DeSantis,Ron DeSantis,Florida,Ron DeSantis,"Ron DeSantis (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Ron_DeSantis__Official_Portrait__113th_Congress-7_fixed.jpg,Ron_DeSantis__Official_Portrait__113th_Congress-7_fixed.jpg
Brian Kemp,Brian Kemp,Georgia,Brian Kemp,"Brian Kemp (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/BrianKemp.jpg,BrianKemp.jpg
Duke Aiona,Duke Aiona,Hawaii,Duke Aiona,"Duke Aiona (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Duke_Aiona.jpg,Duke_Aiona.jpg
Brad Little,Brad Little,Idaho,Brad Little,"Brad Little (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/nLmyuaDA_400x400.jpg,nLmyuaDA_400x400.jpg
Darren Bailey,Darren Bailey,Illinois,Darren Bailey,"Darren Bailey (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Darren-Bailey.jpg,Darren-Bailey.jpg
Kim Reynolds,Kim Reynolds,Iowa,Kim Reynolds,"Kim Reynolds (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Kim_Reynolds_2013.jpg,Kim_Reynolds_2013.jpg
Derek Schimdt,Derek Schimdt,Kansas,Derek Schmidt,"Derek Schmidt (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Derek_Schmidt.jpg,Derek_Schmidt.jpg
Paul LePage,Paul LePage,Maine,Paul LePage,"Paul LePage (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Paul-LePage.PNG,Paul-LePage.PNG
Dan Cox,Dan Cox,Maryland,Dan Cox,"Dan Cox (R) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/DanCox2022.JPG,DanCox2022.JPG
Geoff Diehl,Geoff Diehl,Massachusetts,Geoff Diehl,"Geoff Diehl (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Geoff-Diehl.PNG,Geoff-Diehl.PNG
Tudor Dixon,Tudor Dixon,Michigan,Tudor Dixon,"Tudor Dixon (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Dixontudor.jpg,Dixontudor.jpg
Scott Jensen,Scott Jensen,Minnesota,Scott Jensen,"Scott Jensen (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Scott_Jensen_portrait.jpg,Scott_Jensen_portrait.jpg
Jim Pillen,Jim Pillen,Nebraska,Jim Pillen,"Jim Pillen (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/JimPillen2.png,JimPillen2.png
Joe Lombardo,Joe Lombardo,Nevada,Joe Lombardo,"Joe Lombardo (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/JoeLombardo.jpg,JoeLombardo.jpg
