wmpid,cand_name,full_name,cand_office_st,cand_party_affiliation,matches,bp_name_raw,bp_url,bp_name,bp_url_filename,_merge,hc_face_note,hc_face_url,hc_first_name,hc_last_name,hc_middle_name,hc_suffix,hc_affix,hc_name_other,hc_double_surname
WMPID3158,"RAHEB, KERRY",Kerry Raheb,VT,IND,,,,,,left_only,,,,,,,,,
WMPID3442,"HELALI, CHRISTOPHER JOSEPH",Christopher Joseph Helali,VT,COM,,,,,,left_only,,,,,,,,,
WMPID4168,"MALLOY, GERALD",Gerald Malloy,VT,REP,Gerald Malloy,"Gerald Malloy (R) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Gerald_Malloy.jpeg,Gerald Malloy,Gerald_Malloy.jpeg,both,,,,,,,,,
WMPID1273,"ERICSON, CRIS MS.",Cris Ericson,VT,IND,,,,,,left_only,,,,,,,,,
WMPID5029,"ABBOTT, MARTHA",Martha Abbott,VT,OTH,,,,,,left_only,,,,,,,,,
WMPID1469,"MURRAY, PATTY",Patty Murray,WA,DEM,Patty Murray,"Patty Murray (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Patty_Murray.jpg,Patty Murray,Patty_Murray.jpg,both,,,,,,,,,
WMPID2158,"SMILEY, TIFFANY",Tiffany Smiley,WA,REP,Tiffany Smiley,"Tiffany Smiley (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/TiffanySmiley.jpeg,Tiffany Smiley,TiffanySmiley.jpeg,both,,,,,,,,,
WMPID3887,"D'AMICO, SAMUEL NICHOLAS MR",Samuel Nicholas D?Amico,WI,DEM,,,,,,left_only,,,,,,,,,
WMPID2352,"AUBART, SCOTT ALAN MR",Scott Alan Aubart,WI,AIP,Scott Aubart,"Scott Aubart (American Independent Party) (Write-in) 
",https://cdn.ballotpedia.org/images/thumb/f/fb/Silhouette_Placeholder_Image.png/150px-Silhouette_Placeholder_Image.png,Scott Aubart,https://cdn.ballotpedia.org/images/thumb/f/fb/Silhouette_Placeholder_Image.png/150px-Silhouette_Placeholder_Image.png,both,,,,,,,,,
WMPID4650,"BARNES, MANDELA",Mandela Barnes,WI,DEM,Mandela Barnes,"Mandela Barnes (D) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Mandela-Barnes.jpg,Mandela Barnes,Mandela-Barnes.jpg,both,,,,,,,,,
WMPID1471,"MURKOWSKI, LISA",Lisa Murkowski,AK,REP,Lisa Murkowski,Lisa Murkowski ,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Lisa_Murkowski.jpg,Lisa Murkowski,Lisa_Murkowski.jpg,both,,,,,,,,,
WMPID1478,"SCHATZ, BRIAN",Brian Schatz,HI,DEM,Brian E. Schatz,"Brian E. Schatz (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Brian_Schatz__official_portrait__113th_Congress_2-7_fixed.jpg,Brian E. Schatz,Brian_Schatz__official_portrait__113th_Congress_2-7_fixed.jpg,both,,,,,,,,,
WMPID1481,"KENNEDY, JOHN NEELY",John Kennedy,LA,REP,,,,,,left_only,,,,,,,,,
WMPID4986,"MCMORRIS, BRANNON L",Brannon Mcmorris,LA,IND,,,,,,left_only,,,,,,,,,
WMPID1492,"LANKFORD, JAMES PAUL",James Lankford,OK,REP,James Lankford,"James Lankford (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/James_Lankford.jpg,James Lankford,James_Lankford.jpg,both,,,,,,,,,
WMPID5129,"WOODS, RAY",Ray Woods,OK,IND,Ray Woods,"Ray Woods (Independent)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/RayWoods.jpg,Ray Woods,RayWoods.jpg,both,,,,,,,,,
WMPID1493,"PERKINS, JO RAE",Jo Rae Perkins,OR,REP,Jo Rae Perkins,"Jo Rae Perkins (R / Constitution Party) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/jo_rae_perkinsor1.png,Jo Rae Perkins,jo_rae_perkinsor1.png,both,,,,,,,,,
WMPID1495,"SCOTT, TIMOTHY E.",Tim Scott,SC,REP,Tim Scott,"Tim Scott (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Tim_Scott.jpeg,Tim Scott,Tim_Scott.jpeg,both,,,,,,,,,
WMPID1504,"DUCKWORTH, L. TAMMY",Tammy Duckworth,IL,DEM,Tammy Duckworth,"Tammy Duckworth (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Tammy_Duckworth__official_portrait__113th_Congress-7_fixed.jpg,Tammy Duckworth,Tammy_Duckworth__official_portrait__113th_Congress-7_fixed.jpg,both,,,,,,,,,
WMPID1505,"YOUNG, TODD CHRISTOPHER",Todd Young,IN,REP,Todd C. Young,"Todd C. Young (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Todd_C._Young.jpg,Todd C. Young,Todd_C._Young.jpg,both,,,,,,,,,
WMPID1510,"VAN HOLLEN, CHRIS",Chris Van Hollen,MD,DEM,Chris Van Hollen,"Chris Van Hollen (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Chris_van_Hollen.jpg,Chris Van Hollen,Chris_van_Hollen.jpg,both,,,,,,,,,
WMPID4810,"CHAFFEE, CHRIS",Chris Chaffee,MD,REP,Chris Chaffee,"Chris Chaffee (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Chris-Chaffee.PNG,Chris Chaffee,Chris-Chaffee.PNG,both,,,,,,,,,
WMPID1514,"HASSAN, MARGARET WOOD",Margaret Hassan,NH,DEM,,,,,,left_only,,,,,,,,,
WMPID1516,"CORTEZ MASTO, CATHERINE",Catherine Cortez Masto,NV,DEM,Catherine Cortez Masto,"Catherine Cortez Masto (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Catherine_Cortez_Masto.jpg,Catherine Cortez Masto,Catherine_Cortez_Masto.jpg,both,,,,,,,,,
WMPID1518,"MURPHY, ROBERT T",Robert T. Murphy,OK,LIB,Robert Murphy,"Robert Murphy (L)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/RobertMurphyOK2.jpg,Robert Murphy,RobertMurphyOK2.jpg,both,,,,,,,,,
WMPID1519,"WYDEN, RONALD LEE",Ron Wyden,OR,DEM,Ron Wyden,"Ron Wyden (D / Independent Party)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Ron_Wyden.jpg,Ron Wyden,Ron_Wyden.jpg,both,,,,,,,,,
WMPID2065,"FETTERMAN, JOHN KARL",John Karl Fetterman,PA,DEM,John Fetterman,"John Fetterman (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/John-Fetterman.PNG,John Fetterman,John-Fetterman.PNG,both,,,,,,,,,
WMPID1531,"CRAPO, MICHAEL D",Mike Crapo,ID,REP,Mike Crapo,"Mike Crapo (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Mike_Crapo.jpg,Mike Crapo,Mike_Crapo.jpg,both,,,,,,,,,
WMPID1547,"SCHUMER, CHARLES E.",Charles Schumer,NY,DEM,,,,,,left_only,,,,,,,,,
