wmpid,cand_name,full_name,cand_office_st,cand_party_affiliation,matches,bp_name_raw,bp_url,bp_name,bp_url_filename,_merge,hc_face_note,hc_face_url,hc_first_name,hc_last_name,hc_middle_name,hc_suffix,hc_affix,hc_name_other,hc_double_surname
WMPID2549,"FRANKEN, MICHAEL T",Michael Franken,IA,DEM,Michael Franken,"Michael Franken (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/FrankenMikeHeadshot.jpg,Michael Franken,FrankenMikeHeadshot.jpg,both,,,,,,,,,
WMPID2511,"CLEVELAND, SCOTT OH",Scott Oh Cleveland,ID,UN,Scott Cleveland,"Scott Cleveland (Independent) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Scott_Cleveland.jpg,Scott Cleveland,Scott_Cleveland.jpg,both,,,,,,,,,
WMPID2576,"ROTH, DAVID JORDAN",David Jordan Roth,ID,DEM,,,,,,left_only,,,,,,,,,
WMPID3320,"SIERRA, CARTA REALE",Carta Reale Sierra,ID,LIB,,,,,,left_only,,,,,,,,,
WMPID3751,"HAUSKINS, DANIEL OBAMA MR JR",Daniel Hauskins,IL,GWP,,,,,,left_only,,,,,,,,,
WMPID4183,"REDPATH, WILLIAM MR.",William Redpath,IL,LIB,,,,,,left_only,,,,,,,,,
WMPID2659,"SALVI, KATHY RAYE",Kathy Raye Salvi,IL,REP,Kathy Salvi,"Kathy Salvi (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/KathySalvi.jpg,Kathy Salvi,KathySalvi.jpg,both,,,,,,,,,
WMPID2419,"HORGES, BRADLEY LAMAR MR. JR.",Bradley Lamar Jr. Horges,IL,W,,,,,,left_only,,,,,,,,,
WMPID4510,"KHAALIQ, HANEEFAH MS.",Haneefah Khaaliq,IN,DEM,,,,,,left_only,,,,,,,,,
WMPID3496,"GABEHART, JASON",Jason Gabehart,IN,IND,,,,,,left_only,,,,,,,,,
WMPID241,"KIZIK, ELLEN MS.",Ellen Kizik,IN,NON,,,,,,left_only,,,,,,,,,
WMPID1575,"MCDERMOTT, THOMAS M. JR",Thomas Jr Mcdermott,IN,DEM,Thomas McDermott Jr.,"Thomas McDermott Jr. (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/mcd4c_headshot.jpg,Thomas McDermott Jr.,mcd4c_headshot.jpg,both,,,,,,,,,
WMPID3441,"SCENIAK, JAMES",James Sceniak,IN,LIB,James Sceniak,"James Sceniak (L)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/James_Sceniak.jpg,James Sceniak,James_Sceniak.jpg,both,,,,,,,,,
WMPID3765,"HOLLAND, MARK R. REV.",Mark Holland,KS,DEM,Mark R. Holland,"Mark R. Holland (D) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Mark_Holland2022.jpg,Mark R. Holland,Mark_Holland2022.jpg,both,,,,,,,,,
WMPID5153,"GRAHAM, DAVID C.",David Graham,KS,LIB,David Graham,"David Graham (L)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/David-Graham.PNG,David Graham,David-Graham.PNG,both,,,,,,,,,
WMPID2695,"BIERY, DAVID",David Biery,KY,LIB,,,,,,left_only,,,,,,,,,
WMPID2339,"PARHAM, NICHOLAS",Nicholas Parham,LA,IND,,,,,,left_only,,,,,,,,,
WMPID4438,"MIXON, LUKE",Luke Mixon,LA,DEM,Luke Mixon,"Luke Mixon (D) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/mixonluke.jpg,Luke Mixon,mixonluke.jpg,both,,,,,,,,,
WMPID4532,"VICTORIAN, MICHAEL DUKES",Michael Dukes Victorian,LA,SLP,,,,,,left_only,,,,,,,,,
WMPID4727,"CHAMBERS, GARY JR.",Gary Jr. Chambers,LA,DEM,Gary Chambers,"Gary Chambers (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/_DSC9626-min.jpg,Gary Chambers,_DSC9626-min.jpg,both,,,,,,,,,
WMPID3983,"STEIB, SYRITA",Syrita Steib,LA,DEM,Syrita Steib,"Syrita Steib (D) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Syrita_Steib1.png,Syrita Steib,Syrita_Steib1.png,both,,,,,,,,,
WMPID4822,"KYDER, ALBERT",Albert Kyder,LA,REP,,,,,,left_only,,,,,,,,,
WMPID1507,"MENDOZA, MANLIO VINICIO",Vinny Mendoza,LA,DEM,,,,,,left_only,,,,,,,,,
WMPID1722,"STRAUSS, NICHOLAS CRANE",Nicholas Crane Strauss,MO,UNK,,,,,,left_only,,,,,,,,,
WMPID4545,"SCHMITT, ERIC",Eric Schmitt,MO,REP,Eric Schmitt,"Eric Schmitt (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Eric-Schmitt.PNG,Eric Schmitt,Eric-Schmitt.PNG,both,,,,,,,,,
WMPID1599,"PRICE, STEVEN CRAIG",Steven Craig Price,MO,IND,,,,,,left_only,,,,,,,,,
WMPID4178,"TUNNELL, LEONARD",Leonard Tunnell,MO,REP,,,,,,left_only,,,,,,,,,
WMPID4659,"BUSCH VALENTINE, TRUDY",Trudy Busch Valentine,MO,DEM,Trudy Busch Valentine,"Trudy Busch Valentine (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/TrudyBuschValentine.png,Trudy Busch Valentine,TrudyBuschValentine.png,both,,,,,,,,,
WMPID4903,"WOOD, JOHN FREDERICK",John Frederick Wood,MO,IND,,,,,,left_only,,,,,,,,,
WMPID5005,"VENABLE, PAUL",Paul Venable,MO,CON,Paul Venable,"Paul Venable (Constitution Party)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Paul-Venable.PNG,Paul Venable,Paul-Venable.PNG,both,,,,,,,,,
WMPID3087,"BOYETTE, HAYDEN ZEL MR NONE",Hayden Zel None Boyette,NC,IND,,,,,,left_only,,,,,,,,,
WMPID4423,"RHINEHARDT, KIMREY WOODARD MRS.",Kimrey Woodards. Rhinehardt,NC,UN,,,,,,left_only,,,,,,,,,
WMPID3197,"LANEY RODRIGUEZ, BRENDA",Brenda Laney Rodriguez,NC,IND,,,,,,left_only,,,,,,,,,
WMPID3297,"BEASLEY, CHERI",Cheri Beasley,NC,DEM,Cheri Beasley,"Cheri Beasley (D)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Cheri_Beasley.jpg,Cheri Beasley,Cheri_Beasley.jpg,both,,,,,,,,,
WMPID3949,"BUDD, THEODORE P",Theodore Budd,NC,REP,,,,,,left_only,,,,,,,,,
WMPID3021,"HOH, MATTHEW PATRICK MR",Matthew Patrick Hoh,NC,GRE,,,,,,left_only,,,,,,,,,
WMPID4235,"WHITE, MARC MICHAEL",Marc Michael White,NC,UN,,,,,,left_only,,,,,,,,,
WMPID1886,"LEWIS, MICHELLE ESTELLE",Michelle Estelle Lewis,NC,UN,,,,,,left_only,,,,,,,,,
WMPID2989,"CHRISTIANSEN, KATRINA",Katrina Christiansen,ND,DEM,Katrina Christiansen,"Katrina Christiansen (D) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/KatrinaChristiansen.jpg,Katrina Christiansen,KatrinaChristiansen.jpg,both,,,,,,,,,
WMPID2496,"KAUFFMAN, JEREMY",Jeremy Kauffman,NH,LIB,Jeremy Kauffman,"Jeremy Kauffman (L) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Jeremy_Kauffman___.jpg,Jeremy Kauffman,Jeremy_Kauffman___.jpg,both,,,,,,,,,
WMPID4165,"GRIFFIN, PETER JOHN",Peter John Griffin,NV,COM,,,,,,left_only,,,,,,,,,
WMPID2154,"LOWE, GRETCHEN RAE",Gretchen Rae Lowe,NV,NPA,,,,,,left_only,,,,,,,,,
WMPID2987,"LAXALT, ADAM",Adam Laxalt,NV,REP,Adam Laxalt,"Adam Laxalt (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/AdamLaxalt2015.jpg,Adam Laxalt,AdamLaxalt2015.jpg,both,,,,,,,,,
WMPID1989,"DESTIN, JOSEPH J",Joseph Destin,NV,NPA,,,,,,left_only,,,,,,,,,
WMPID5009,"LINDEMANN, BARRY",Barry Lindemann,NV,UN,Barry Lindemann,"Barry Lindemann (Independent) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Barry_lindemann.jpg,Barry Lindemann,Barry_lindemann.jpg,both,,,,,,,,,
WMPID3120,"SARE, DIANE WILSON MS",Diane Wilson Sare,NY,IND,,,,,,left_only,,,,,,,,,
WMPID3922,"ANABILAH-AZUMAH, JOEL MR",Joel Anabilah-Azumah,NY,NPA,,,,,,left_only,,,,,,,,,
WMPID468,"NASCIMBENE, LUCA",Luca Nascimbene,NY,W,,,,,,left_only,,,,,,,,,
WMPID3228,"AHMED, MOHAMMAD MOKHTAR",Mohammad Mokhtar Ahmed,NY,VET,,,,,,left_only,,,,,,,,,
WMPID3108,"PINION, JOSEPH III",Joseph III Pinion,NY,REP,,,,,,left_only,,,,,,,,,
WMPID4034,"MASTERSON, WALTER JOSEPH",Walter Joseph Masterson,NY,OTH,,,,,,left_only,,,,,,,,,
WMPID2324,"ALEXANDER, VIVIKA",Vivika Alexander,NY,GOP,,,,,,left_only,,,,,,,,,
WMPID4091,"LACAVERA, DOMINIC JAMES JR.",Dominic James Jr. Lacavera,OH,LIB,,,,,,left_only,,,,,,,,,
WMPID3360,"MOUSOURAKIS, SHAWN",Shawn Mousourakis,OH,VET,,,,,,left_only,,,,,,,,,
WMPID1763,"MEIRING, ERIC RICHARD REVEREND",Eric Richard Reverend Meiring,OH,IND,,,,,,left_only,,,,,,,,,
WMPID3217,"RYAN, TIMOTHY",Timothy Ryan,OH,DEM,,,,,,left_only,,,,,,,,,
WMPID3111,"RONAN, SAMUEL",Samuel Ronan,OH,IND,,,,,,left_only,,,,,,,,,
WMPID3328,"VANCE, J D",J D Vance,OH,REP,J.D. Vance,"J.D. Vance (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/J.D._Vance.png,J.D. Vance,J.D._Vance.png,both,,,,,,,,,
WMPID3267,"GRAHAM, ROBERT WILLIAM",Robert William Graham,OH,W,,,,,,left_only,,,,,,,,,
WMPID3936,"TAYLOR, CHAD ALAN",Chad Alan Taylor,OH,W,,,,,,left_only,,,,,,,,,
WMPID3332,"BOLLINGER, JASON",Jason Bollinger,OK,DEM,,,,,,left_only,,,,,,,,,
WMPID3844,"HORN, MADISON",Madison Horn,OK,DEM,Madison Horn,"Madison Horn (D) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Madison-Horn.PNG,Madison Horn,Madison-Horn.PNG,both,,,,,,,,,
