wmpid,face_url,face_category
WMPID5219,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Martin_Van_Buren_circa_1837_crop.jpg/320px-Martin_Van_Buren_circa_1837_crop.jpg,FormerPres
WMPID5250,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/William_Henry_Harrison_by_James_Reid_Lambdin%2C_1835_crop.jpg/320px-William_Henry_Harrison_by_James_Reid_Lambdin%2C_1835_crop.jpg,FormerPres
WMPID5262,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/John_Tyler%2C_Jr.jpg/320px-John_Tyler%2C_Jr.jpg,FormerPres
WMPID5253,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/JKP.jpg/320px-JKP.jpg,FormerPres
WMPID5240,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Zachary_Taylor_restored_and_cropped.jpg/320px-Zachary_Taylor_restored_and_cropped.jpg,FormerPres
WMPID5192,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Fillmore.jpg/320px-Fillmore.jpg,FormerPres
WMPID5226,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Mathew_Brady_-_Franklin_Pierce_-_alternate_crop_%28cropped%29.jpg/320px-Mathew_Brady_-_Franklin_Pierce_-_alternate_crop_%28cropped%29.jpg,FormerPres
WMPID5189,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/James_Buchanan.jpg/320px-James_Buchanan.jpg,FormerPres
WMPID5239,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Abraham_Lincoln_O-77_matte_collodion_print.jpg/320px-Abraham_Lincoln_O-77_matte_collodion_print.jpg,FormerPres
WMPID5213,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Andrew_Johnson_photo_portrait_head_and_shoulders%2C_c1870-1880-Edit1.jpg/320px-Andrew_Johnson_photo_portrait_head_and_shoulders%2C_c1870-1880-Edit1.jpg,FormerPres
WMPID5179,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Ulysses_S_Grant_by_Brady_c1870-restored.jpg/320px-Ulysses_S_Grant_by_Brady_c1870-restored.jpg,FormerPres
WMPID5220,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/President_Rutherford_Hayes_1870_-_1880_Restored.jpg/320px-President_Rutherford_Hayes_1870_-_1880_Restored.jpg,FormerPres
