bp_office,bp_url,bp_cand_office
"https://ballotpedia.org/United_States_Senate_election_in_Arizona,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Perry_Kapadia.png,S
"https://ballotpedia.org/United_States_Senate_election_in_Arizona,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Daniel_McCarthy.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Arizona,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/bmasters.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Arizona,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/MarcVictor.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Arizona,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/MarkBrnovich2015.png,S
"https://ballotpedia.org/United_States_Senate_election_in_Arizona,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Deedra_Abboud.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Arizona,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Kelli_Ward_2.png,S
"https://ballotpedia.org/United_States_Senate_election_in_Arizona,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/John-Schiess.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Arizona,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/smeltzer-todd-19755.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Arizona,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/JimLamon.png,S
"https://ballotpedia.org/United_States_Senate_election_in_Arizona,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/AGreenHeadshot.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Arizona,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Kyrsten_Sinema.jpeg,S
"https://ballotpedia.org/United_States_Senate_election_in_Arizona,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Joshua_Rodriguez.jpeg,S
"https://ballotpedia.org/United_States_Senate_election_in_Arizona,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Mick_McGuire2022.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Arizona,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Mark-Kelly.png,S
"https://ballotpedia.org/United_States_Senate_election_in_Arizona,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/RoxanneRodriguez.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Arizona,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/justin-olson-commissioner.png,S
"https://ballotpedia.org/United_States_Senate_election_in_Arizona,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Martha_McSally_official_congressional_photo.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Arizona,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/JoeArpaio.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Arizona,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/NicholasGlenn.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Arizona,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Arif.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Arkansas,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/James-Garner.jpeg,S
"https://ballotpedia.org/United_States_Senate_election_in_Arkansas,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/harrington.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Arkansas,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/DanWhitfield.jpeg,S
"https://ballotpedia.org/United_States_Senate_election_in_Arkansas,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Natalie-James.PNG,S
"https://ballotpedia.org/United_States_Senate_election_in_Arkansas,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Mar2420211104PM_104500298_7024EF62F7BA476180209334DCEF041C.jpeg,S
"https://ballotpedia.org/United_States_Senate_election_in_Arkansas,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/johnboozmanupdated.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Arkansas,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/morganjantwo.jpeg,S
"https://ballotpedia.org/United_States_Senate_election_in_Arkansas,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Jake_Bequette.png,S
"https://ballotpedia.org/United_States_Senate_election_in_Arkansas,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Richard-Gant.jpeg,S
"https://ballotpedia.org/United_States_Senate_election_in_Arkansas,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Tom_Cotton.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_Arkansas,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Kenneth_Cates.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Screen_Shot_2018-05-23_at_1.05.48_PM.png,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/DeonJenkins.jpeg,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Alex-Padilla.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/tursich.jpeg,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/John_Thompson_Parker1.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Mark-Meuser.PNG,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Pamela_Elizondo.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Jon_Elist.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Sarah_Liew.png,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/RoqueDeLaFuente.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Don-Grundmann.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/LZ.png,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/kdeleon.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/paultaylor.jpeg,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/lucero.jpg,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Patrick_Ryan_Little.JPG,S
"https://ballotpedia.org/United_States_Senate_election_in_California,_2022",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Dan_ODowd1.jpeg,S
